25	91
34	66
29	113
52	113
52	100
144	16
136	30
136	39
145	39
127	64
108	65
143	58
177	55
215	33
225	33
230	22
249	32
235	33
131	115
126	136
164	136
167	111
133	119
131	126
160	119
160	126
129	131
158	132
119	154
199	151
211	118
218	129
220	150
193	173
199	239
208	241
193	253
116	174
87	65
97	66
99	192
107	190
92	110
102	175
111	177
121	194
241	32
123	199
149	30
154	37
127	173
128	180
230	254
236	245
113	204
56	158
224	0
243	0
187	196
107	207
77	251
109	251

