22	56
23	67
30	106
32	116
203	164
201	188
162	184
161	167
55	167
58	183
73	184
70	167
216	178
193	266
204	202
75	197
77	214
64	213
62	198
162	245
161	201
80	226
82	241
69	239
66	227
51	228
57	250
85	253
87	267
74	265
72	253
135	256
137	268
105	267
102	255
139	296
110	286
90	315
142	320
111	307
196	312
196	322
167	320
167	311
93	334
144	339
114	328
196	343
167	332
96	353
77	343
116	347
212	359
199	363
167	351
194	353
34	32
31	9
43	7
46	32
49	57
38	58
41	80
53	79
56	105
45	105
48	125
60	125
84	124
123	124
123	103
81	105
77	78
120	77
119	52
75	55
72	30
117	28
71	5
116	2
172	24
223	22
203	64
159	65
159	110
202	110
222	145
91	165
93	183
129	185
128	164
130	199
130	199
131	217
97	214
95	200
99	227
133	228
133	243
100	241
26	243
40	237
84	295
83	283
61	283
63	293
67	303
88	304
69	313
71	323
73	333
90	325
93	343
79	351
62	337
53	307
25	276
50	254
49	285
141	308
112	316
114	337
142	329
138	286
110	295
163	259
163	270
208	291
208	301
174	298
174	288
166	360
116	354
143	348
72	365
89	367
103	374
90	373
24	137
24	147
11	138
11	146
17	99
11	99
9	92
15	91
