175	50
146	60
123	55
98	64
75	59
53	68
14	72
238	215
245	179
250	181
233	143
203	141
203	92
243	89
243	128
76	239
76	261
86	263
240	317
202	293
234	293
237	277
239	263
253	226
121	231
121	242
98	240
98	230
174	234
174	245
146	244
146	232
121	254
121	264
98	263
98	253
173	258
173	270
146	266
146	256
141	295
170	299
170	311
141	309
229	382
13	114
13	135
32	134
32	113
52	111
53	133
74	133
74	110
96	108
96	131
121	131
121	107
145	106
145	129
174	129
174	105
174	57
145	51
14	65
33	62
33	70
145	212
174	213
174	200
145	198
145	187
173	187
174	174
145	174
121	174
96	174
75	174
53	174
33	174
14	174
14	185
33	185
53	186
75	186
96	186
121	187
202	196
202	210
236	211
235	197
241	176
203	176
203	161
202	224
241	225
202	238
200	308
235	311
214	316
214	326
234	328
3	54
141	316
75	228
75	210
75	198
54	197
54	209
15	207
15	196
32	196
32	208
122	62
97	56
53	60
74	67
226	362
227	349
