310	11
290	28
290	56
322	55
323	34
98	29
98	39
80	40
80	30
286	99
323	73
296	117
65	36
161	64
161	53
194	52
148	53
148	64
119	65
119	54
106	55
108	66
81	67
80	56
284	240
287	230
294	224
288	179
315	174
288	156
286	131
68	187
162	179
109	175
111	185
85	183
85	174
149	178
149	188
163	204
163	214
67	209
85	197
103	199
103	208
122	200
150	203
150	213
345	254
317	200
318	227
309	232
317	248
174	252
63	212
69	222
104	231
142	226
142	235
124	233
123	224
185	230
186	240
164	238
163	228
283	247
92	247
110	250
128	251
81	111
82	132
99	133
99	111
99	93
80	93
80	82
98	81
119	81
119	93
139	93
139	81
140	134
140	112
119	112
119	135
120	152
141	152
141	163
121	162
121	163
121	176
121	186
121	210
104	220
86	219
86	229
161	136
184	136
161	112
185	112
185	92
160	92
160	80
185	80
194	64
184	35
160	37
160	24
185	22
138	25
138	37
118	38
118	26
55	39
48	32
261	164
260	195
161	153
161	164
185	166
185	153
162	189
207	167
207	155
233	169
294	166
39	115
40	126
53	147
51	94
62	64
63	80
55	79
56	65
55	58
55	50
59	48
60	56
261	21
260	32
260	47
260	58
289	82
301	75
284	208
83	160
83	149
101	161
101	150
62	228
73	236
259	140
284	140
285	115
258	115
233	156
62	193
68	196
62	160
62	170
62	174
67	176
62	205
55	222
41	29
321	115
