163	8
191	6
192	18
193	39
162	42
163	21
192	44
192	65
163	67
162	46
201	74
192	76
193	99
162	99
162	77
139	81
139	103
114	105
114	83
193	118
193	166
161	166
162	119
138	122
138	145
112	146
113	123
193	194
193	221
161	220
161	195
136	198
135	223
109	223
110	198
135	241
135	267
108	266
109	240
192	245
192	271
160	270
160	244
107	285
134	288
134	313
107	311
184	288
184	307
158	304
160	286
106	329
133	333
133	358
105	356
201	338
201	365
168	362
168	335
72	28
92	24
92	44
71	46
72	53
90	50
90	70
71	71
68	85
89	85
88	107
66	108
66	124
86	124
86	148
64	148
62	194
60	218
82	218
83	193
83	235
60	234
59	260
81	261
81	282
58	281
58	307
80	309
80	327
57	324
56	349
79	352
116	14
140	12
140	18
116	21
115	42
140	39
140	44
116	47
114	68
139	66
189	286
190	301
214	303
215	288
34	353
21	278
